facenum,block,emotion,reward
19,1,fear,IEV
10,1,fear,IEV
11,1,fear,IEV
10,1,fear,IEV
15,1,fear,IEV
15,1,fear,IEV
17,1,fear,IEV
9,1,fear,IEV
25,1,fear,IEV
6,1,fear,IEV
12,1,fear,IEV
9,1,fear,IEV
18,1,fear,IEV
25,1,fear,IEV
11,1,fear,IEV
20,1,fear,IEV
22,1,fear,IEV
21,1,fear,IEV
11,1,fear,IEV
7,1,fear,IEV
6,1,fear,IEV
16,1,fear,IEV
16,1,fear,IEV
14,1,fear,IEV
2,1,fear,IEV
13,1,fear,IEV
22,1,fear,IEV
8,1,fear,IEV
19,1,fear,IEV
24,1,fear,IEV
19,1,fear,IEV
5,1,fear,IEV
14,1,fear,IEV
4,1,fear,IEV
11,1,fear,IEV
15,1,fear,IEV
19,1,fear,IEV
22,1,fear,IEV
10,1,fear,IEV
21,1,fear,IEV
15,1,fear,IEV
14,1,fear,IEV
5,1,fear,IEV
11,1,fear,IEV
3,1,fear,IEV
19,1,fear,IEV
5,1,fear,IEV
22,1,fear,IEV
9,1,fear,IEV
12,1,fear,IEV
9,2,scram,IEV
18,2,scram,IEV
6,2,scram,IEV
1,2,scram,IEV
11,2,scram,IEV
20,2,scram,IEV
6,2,scram,IEV
20,2,scram,IEV
7,2,scram,IEV
25,2,scram,IEV
2,2,scram,IEV
3,2,scram,IEV
23,2,scram,IEV
14,2,scram,IEV
6,2,scram,IEV
13,2,scram,IEV
15,2,scram,IEV
4,2,scram,IEV
13,2,scram,IEV
25,2,scram,IEV
5,2,scram,IEV
11,2,scram,IEV
18,2,scram,IEV
22,2,scram,IEV
2,2,scram,IEV
21,2,scram,IEV
10,2,scram,IEV
10,2,scram,IEV
15,2,scram,IEV
13,2,scram,IEV
9,2,scram,IEV
14,2,scram,IEV
9,2,scram,IEV
7,2,scram,IEV
22,2,scram,IEV
12,2,scram,IEV
17,2,scram,IEV
17,2,scram,IEV
11,2,scram,IEV
25,2,scram,IEV
4,2,scram,IEV
21,2,scram,IEV
1,2,scram,IEV
13,2,scram,IEV
18,2,scram,IEV
1,2,scram,IEV
22,2,scram,IEV
4,2,scram,IEV
25,2,scram,IEV
10,2,scram,IEV
23,3,fear,DEV
15,3,fear,DEV
7,3,fear,DEV
7,3,fear,DEV
4,3,fear,DEV
25,3,fear,DEV
17,3,fear,DEV
1,3,fear,DEV
11,3,fear,DEV
6,3,fear,DEV
16,3,fear,DEV
17,3,fear,DEV
20,3,fear,DEV
17,3,fear,DEV
3,3,fear,DEV
11,3,fear,DEV
5,3,fear,DEV
6,3,fear,DEV
21,3,fear,DEV
5,3,fear,DEV
12,3,fear,DEV
9,3,fear,DEV
2,3,fear,DEV
21,3,fear,DEV
25,3,fear,DEV
11,3,fear,DEV
2,3,fear,DEV
13,3,fear,DEV
16,3,fear,DEV
17,3,fear,DEV
13,3,fear,DEV
16,3,fear,DEV
6,3,fear,DEV
5,3,fear,DEV
14,3,fear,DEV
15,3,fear,DEV
5,3,fear,DEV
12,3,fear,DEV
25,3,fear,DEV
24,3,fear,DEV
23,3,fear,DEV
10,3,fear,DEV
2,3,fear,DEV
17,3,fear,DEV
24,3,fear,DEV
24,3,fear,DEV
16,3,fear,DEV
17,3,fear,DEV
18,3,fear,DEV
9,3,fear,DEV
24,4,scram,DEV
23,4,scram,DEV
18,4,scram,DEV
23,4,scram,DEV
2,4,scram,DEV
13,4,scram,DEV
16,4,scram,DEV
17,4,scram,DEV
1,4,scram,DEV
8,4,scram,DEV
13,4,scram,DEV
25,4,scram,DEV
19,4,scram,DEV
2,4,scram,DEV
6,4,scram,DEV
24,4,scram,DEV
6,4,scram,DEV
9,4,scram,DEV
4,4,scram,DEV
15,4,scram,DEV
5,4,scram,DEV
7,4,scram,DEV
3,4,scram,DEV
13,4,scram,DEV
14,4,scram,DEV
20,4,scram,DEV
1,4,scram,DEV
25,4,scram,DEV
18,4,scram,DEV
10,4,scram,DEV
17,4,scram,DEV
25,4,scram,DEV
17,4,scram,DEV
3,4,scram,DEV
20,4,scram,DEV
18,4,scram,DEV
11,4,scram,DEV
20,4,scram,DEV
7,4,scram,DEV
18,4,scram,DEV
5,4,scram,DEV
25,4,scram,DEV
22,4,scram,DEV
5,4,scram,DEV
11,4,scram,DEV
6,4,scram,DEV
16,4,scram,DEV
16,4,scram,DEV
21,4,scram,DEV
2,4,scram,DEV
