facenum,block,emotion,reward
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,IEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
1,1,clock_face,DEVLINPROB
