facenum,block,emotion,reward
2,1,scram,DEV
7,1,scram,DEV
20,1,scram,DEV
12,1,scram,DEV
19,1,scram,DEV
4,1,scram,DEV
15,1,scram,DEV
24,1,scram,DEV
5,1,scram,DEV
9,1,scram,DEV
18,1,scram,DEV
3,1,scram,DEV
21,1,scram,DEV
17,1,scram,DEV
1,1,scram,DEV
16,1,scram,DEV
14,1,scram,DEV
6,1,scram,DEV
22,1,scram,DEV
23,1,scram,DEV
13,1,scram,DEV
25,1,scram,DEV
11,1,scram,DEV
10,1,scram,DEV
8,1,scram,DEV
21,1,scram,DEV
16,1,scram,DEV
14,1,scram,DEV
19,1,scram,DEV
23,1,scram,DEV
4,1,scram,DEV
3,1,scram,DEV
1,1,scram,DEV
13,1,scram,DEV
7,1,scram,DEV
8,1,scram,DEV
18,1,scram,DEV
10,1,scram,DEV
15,1,scram,DEV
5,1,scram,DEV
11,1,scram,DEV
17,1,scram,DEV
9,1,scram,DEV
25,1,scram,DEV
12,1,scram,DEV
20,1,scram,DEV
22,1,scram,DEV
6,1,scram,DEV
2,1,scram,DEV
24,1,scram,DEV
8,1,happy,IEV
20,1,happy,IEV
23,1,happy,IEV
21,1,happy,IEV
13,1,happy,IEV
16,1,happy,IEV
1,1,happy,IEV
11,1,happy,IEV
17,1,happy,IEV
18,1,happy,IEV
15,1,happy,IEV
24,1,happy,IEV
22,1,happy,IEV
6,1,happy,IEV
4,1,happy,IEV
14,1,happy,IEV
7,1,happy,IEV
5,1,happy,IEV
9,1,happy,IEV
2,1,happy,IEV
3,1,happy,IEV
25,1,happy,IEV
10,1,happy,IEV
12,1,happy,IEV
19,1,happy,IEV
25,1,happy,IEV
17,1,happy,IEV
5,1,happy,IEV
18,1,happy,IEV
8,1,happy,IEV
22,1,happy,IEV
21,1,happy,IEV
7,1,happy,IEV
9,1,happy,IEV
6,1,happy,IEV
20,1,happy,IEV
19,1,happy,IEV
14,1,happy,IEV
15,1,happy,IEV
2,1,happy,IEV
24,1,happy,IEV
16,1,happy,IEV
10,1,happy,IEV
12,1,happy,IEV
11,1,happy,IEV
23,1,happy,IEV
4,1,happy,IEV
3,1,happy,IEV
1,1,happy,IEV
13,1,happy,IEV
18,1,happy,DEV
7,1,happy,DEV
10,1,happy,DEV
3,1,happy,DEV
5,1,happy,DEV
25,1,happy,DEV
21,1,happy,DEV
6,1,happy,DEV
24,1,happy,DEV
12,1,happy,DEV
15,1,happy,DEV
16,1,happy,DEV
23,1,happy,DEV
22,1,happy,DEV
17,1,happy,DEV
8,1,happy,DEV
9,1,happy,DEV
11,1,happy,DEV
19,1,happy,DEV
1,1,happy,DEV
20,1,happy,DEV
2,1,happy,DEV
13,1,happy,DEV
4,1,happy,DEV
14,1,happy,DEV
18,1,happy,DEV
13,1,happy,DEV
25,1,happy,DEV
23,1,happy,DEV
6,1,happy,DEV
7,1,happy,DEV
14,1,happy,DEV
4,1,happy,DEV
9,1,happy,DEV
12,1,happy,DEV
5,1,happy,DEV
2,1,happy,DEV
3,1,happy,DEV
15,1,happy,DEV
16,1,happy,DEV
21,1,happy,DEV
8,1,happy,DEV
22,1,happy,DEV
24,1,happy,DEV
1,1,happy,DEV
11,1,happy,DEV
20,1,happy,DEV
19,1,happy,DEV
10,1,happy,DEV
17,1,happy,DEV
23,2,scram,IEV
16,2,scram,IEV
17,2,scram,IEV
2,2,scram,IEV
1,2,scram,IEV
8,2,scram,IEV
20,2,scram,IEV
5,2,scram,IEV
19,2,scram,IEV
24,2,scram,IEV
6,2,scram,IEV
7,2,scram,IEV
22,2,scram,IEV
12,2,scram,IEV
4,2,scram,IEV
3,2,scram,IEV
25,2,scram,IEV
11,2,scram,IEV
14,2,scram,IEV
15,2,scram,IEV
9,2,scram,IEV
21,2,scram,IEV
18,2,scram,IEV
10,2,scram,IEV
13,2,scram,IEV
14,2,scram,IEV
9,2,scram,IEV
8,2,scram,IEV
10,2,scram,IEV
2,2,scram,IEV
4,2,scram,IEV
5,2,scram,IEV
15,2,scram,IEV
17,2,scram,IEV
19,2,scram,IEV
21,2,scram,IEV
12,2,scram,IEV
6,2,scram,IEV
24,2,scram,IEV
7,2,scram,IEV
1,2,scram,IEV
3,2,scram,IEV
16,2,scram,IEV
13,2,scram,IEV
18,2,scram,IEV
25,2,scram,IEV
22,2,scram,IEV
20,2,scram,IEV
11,2,scram,IEV
23,2,scram,IEV
1,2,fear,DEV
10,2,fear,DEV
15,2,fear,DEV
22,2,fear,DEV
21,2,fear,DEV
19,2,fear,DEV
13,2,fear,DEV
5,2,fear,DEV
4,2,fear,DEV
