facenum,block,emotion,reward
2,1,scram,DEV
7,1,scram,DEV
20,1,scram,DEV
12,1,scram,DEV
19,1,scram,DEV
4,1,scram,DEV
15,1,scram,DEV
24,1,scram,DEV
5,1,scram,DEV
9,1,scram,DEV
18,1,scram,DEV
3,1,scram,DEV
21,1,scram,DEV
17,1,scram,DEV
1,1,scram,DEV
16,1,scram,DEV
14,1,scram,DEV
6,1,scram,DEV
22,1,scram,DEV
23,1,scram,DEV
13,1,scram,DEV
25,1,scram,DEV
11,1,scram,DEV
10,1,scram,DEV
8,1,scram,DEV
21,1,scram,DEV
16,1,scram,DEV
14,1,scram,DEV
19,1,scram,DEV
23,1,scram,DEV
4,1,scram,DEV
3,1,scram,DEV
1,1,scram,DEV
13,1,scram,DEV
7,1,scram,DEV
8,1,scram,DEV
18,1,scram,DEV
10,1,scram,DEV
15,1,scram,DEV
5,1,scram,DEV
11,1,scram,DEV
17,1,scram,DEV
9,1,scram,DEV
25,1,scram,DEV
12,1,scram,DEV
20,1,scram,DEV
22,1,scram,DEV
6,1,scram,DEV
2,1,scram,DEV
24,1,scram,DEV
8,1,happy,IEV
20,1,happy,IEV
23,1,happy,IEV
21,1,happy,IEV
13,1,happy,IEV
16,1,happy,IEV
1,1,happy,IEV
11,1,happy,IEV
17,1,happy,IEV
18,1,happy,IEV
15,1,happy,IEV
24,1,happy,IEV
22,1,happy,IEV
6,1,happy,IEV
4,1,happy,IEV
14,1,happy,IEV
7,1,happy,IEV
5,1,happy,IEV
9,1,happy,IEV
2,1,happy,IEV
3,1,happy,IEV
25,1,happy,IEV
10,1,happy,IEV
12,1,happy,IEV
19,1,happy,IEV
25,1,happy,IEV
17,1,happy,IEV
5,1,happy,IEV
18,1,happy,IEV
8,1,happy,IEV
22,1,happy,IEV
21,1,happy,IEV
7,1,happy,IEV
9,1,happy,IEV
6,1,happy,IEV
20,1,happy,IEV
19,1,happy,IEV
14,1,happy,IEV
15,1,happy,IEV
2,1,happy,IEV
24,1,happy,IEV
16,1,happy,IEV
10,1,happy,IEV
12,1,happy,IEV
11,1,happy,IEV
23,1,happy,IEV
4,1,happy,IEV
3,1,happy,IEV
1,1,happy,IEV
13,1,happy,IEV
18,2,scram,CEVR
5,2,scram,CEVR
1,2,scram,CEVR
2,2,scram,CEVR
11,2,scram,CEVR
4,2,scram,CEVR
9,2,scram,CEVR
25,2,scram,CEVR
22,2,scram,CEVR
19,2,scram,CEVR
23,2,scram,CEVR
20,2,scram,CEVR
12,2,scram,CEVR
10,2,scram,CEVR
13,2,scram,CEVR
7,2,scram,CEVR
8,2,scram,CEVR
14,2,scram,CEVR
3,2,scram,CEVR
21,2,scram,CEVR
17,2,scram,CEVR
24,2,scram,CEVR
16,2,scram,CEVR
15,2,scram,CEVR
6,2,scram,CEVR
12,2,scram,CEVR
25,2,scram,CEVR
20,2,scram,CEVR
19,2,scram,CEVR
14,2,scram,CEVR
1,2,scram,CEVR
18,2,scram,CEVR
15,2,scram,CEVR
11,2,scram,CEVR
7,2,scram,CEVR
17,2,scram,CEVR
2,2,scram,CEVR
3,2,scram,CEVR
9,2,scram,CEVR
5,2,scram,CEVR
8,2,scram,CEVR
13,2,scram,CEVR
22,2,scram,CEVR
16,2,scram,CEVR
10,2,scram,CEVR
23,2,scram,CEVR
4,2,scram,CEVR
21,2,scram,CEVR
24,2,scram,CEVR
6,2,scram,CEVR
18,2,happy,DEV
7,2,happy,DEV
10,2,happy,DEV
3,2,happy,DEV
5,2,happy,DEV
25,2,happy,DEV
21,2,happy,DEV
6,2,happy,DEV
24,2,happy,DEV
12,2,happy,DEV
15,2,happy,DEV
16,2,happy,DEV
23,2,happy,DEV
22,2,happy,DEV
17,2,happy,DEV
8,2,happy,DEV
9,2,happy,DEV
11,2,happy,DEV
19,2,happy,DEV
1,2,happy,DEV
20,2,happy,DEV
2,2,happy,DEV
13,2,happy,DEV
4,2,happy,DEV
14,2,happy,DEV
18,2,happy,DEV
13,2,happy,DEV
25,2,happy,DEV
23,2,happy,DEV
6,2,happy,DEV
7,2,happy,DEV
14,2,happy,DEV
4,2,happy,DEV
9,2,happy,DEV
12,2,happy,DEV
5,2,happy,DEV
2,2,happy,DEV
3,2,happy,DEV
15,2,happy,DEV
16,2,happy,DEV
21,2,happy,DEV
8,2,happy,DEV
22,2,happy,DEV
24,2,happy,DEV
1,2,happy,DEV
11,2,happy,DEV
20,2,happy,DEV
19,2,happy,DEV
10,2,happy,DEV
17,2,happy,DEV
23,3,scram,IEV
16,3,scram,IEV
17,3,scram,IEV
2,3,scram,IEV
1,3,scram,IEV
